method,dist_code,level,MSE,CRLB_info,CRLB_floor,headroom_floor,efficiency
qalign,1,1,1.262177448353619e-30,3.7547036341133265e-07,0.025,5.048709793414476e-29,1.0
qalign,1,2,5.0618574751681595e-31,5.037571985573929e-07,0.025,2.0247429900672637e-29,1.0
qalign,1,3,2.5637979419682885e-31,1.3638872195853312e-06,0.025,1.0255191767873153e-29,1.0
qalign,1,4,3.4019626537656136e-31,2.6805837383605085e-06,0.025,1.3607850615062454e-29,1.0
qalign,1,5,4.190823558986625e-32,4.284803840405065e-06,0.025,1.67632942359465e-30,1.0
qalign,11,1,0.0,0.0001511572850346232,0.025,0.0,1.0
qalign,11,2,1.7749370367472766e-30,0.00019033402989970723,0.025,7.099748146989106e-29,1.0
qalign,11,3,1.9721522630525295e-31,0.00023330177535304413,0.025,7.888609052210118e-30,1.0
qalign,11,4,4.4373425918681915e-32,0.000304685571374426,0.025,1.7749370367472766e-30,1.0
qalign,11,5,1.8488927466117464e-32,0.0004416185014781791,0.025,7.395570986446986e-31,1.0
qalign,10,1,4.20725816117873e-31,3.2724787300734894e-05,0.025,1.6829032644714918e-29,1.0
qalign,10,2,1.67632942359465e-30,1.1054017187508201e-05,0.025,6.7053176943786e-29,1.0
qalign,10,3,3.3526588471893e-31,1.8643202779331796e-06,0.025,1.34106353887572e-29,1.0
qalign,10,4,3.9114353217208503e-31,3.345852396958744e-07,0.025,1.56457412868834e-29,1.0
qalign,10,5,1.0682491424867869e-32,5.709931239269624e-08,0.025,4.272996569947147e-31,1.0
liqe,1,1,3.1554436208840472e-30,3.7547036341133265e-07,0.025,1.262177448353619e-28,1.0
liqe,1,2,6.639579285610183e-31,5.037571985573929e-07,0.025,2.655831714244073e-29,1.0
liqe,1,3,1.1832913578315177e-31,1.3638872195853312e-06,0.025,4.73316543132607e-30,1.0
liqe,1,4,8.200866493860102e-31,2.6805837383605085e-06,0.025,3.2803465975440404e-29,1.0
liqe,1,5,4.1086505480261033e-32,4.284803840405065e-06,0.025,1.6434602192104414e-30,1.0
liqe,11,1,6.573840876841766e-30,0.0001511572850346232,0.025,2.629536350736706e-28,1.0
liqe,11,2,1.9721522630525295e-31,0.00019033402989970723,0.025,7.888609052210118e-30,1.0
liqe,11,3,6.113672015462842e-31,0.00023330177535304413,0.025,2.4454688061851366e-29,1.0
liqe,11,4,1.479114197289397e-32,0.000304685571374426,0.025,5.916456789157588e-31,1.0
liqe,11,5,1.4955487994815015e-31,0.0004416185014781791,0.025,5.982195197926006e-30,1.0
liqe,10,1,2.9976714398398447e-30,3.2724787300734894e-05,0.025,1.1990685759359377e-28,1.0
liqe,10,2,3.747089299799806e-31,1.1054017187508201e-05,0.025,1.4988357199199222e-29,1.0
liqe,10,3,1.2490297665999353e-31,1.8643202779331796e-06,0.025,4.996119066399741e-30,1.0
liqe,10,4,6.918967522875958e-31,3.345852396958744e-07,0.025,2.7675870091503827e-29,1.0
liqe,10,5,6.573840876841765e-33,5.709931239269624e-08,0.025,2.629536350736706e-31,1.0
maniqa,1,1,0.0,3.7547036341133265e-07,0.025,0.0,1.0
maniqa,1,2,1.8406754455156942e-31,5.037571985573929e-07,0.025,7.362701782062776e-30,1.0
maniqa,1,3,2.300844306894618e-31,1.3638872195853312e-06,0.025,9.20337722757847e-30,1.0
maniqa,1,4,5.02898827078395e-31,2.6805837383605085e-06,0.025,2.0115953083135798e-29,1.0
maniqa,1,5,2.465190328815662e-31,4.284803840405065e-06,0.025,9.860761315262648e-30,1.0
maniqa,11,1,2.103629080589365e-31,0.0001511572850346232,0.025,8.414516322357459e-30,1.0
maniqa,11,2,1.314768175368353e-32,0.00019033402989970723,0.025,5.259072701473412e-31,1.0
maniqa,11,3,6.639579285610183e-31,0.00023330177535304413,0.025,2.655831714244073e-29,1.0
maniqa,11,4,4.437342591868191e-31,0.000304685571374426,0.025,1.7749370367472766e-29,1.0
maniqa,11,5,9.449896260460038e-33,0.0004416185014781791,0.025,3.779958504184015e-31,1.0
maniqa,10,1,3.1554436208840472e-30,3.2724787300734894e-05,0.025,1.262177448353619e-28,1.0
maniqa,10,2,8.545993139894294e-31,1.1054017187508201e-05,0.025,3.4183972559577174e-29,1.0
maniqa,10,3,5.259072701473412e-31,1.8643202779331796e-06,0.025,2.1036290805893646e-29,1.0
maniqa,10,4,2.399451920047244e-31,3.345852396958744e-07,0.025,9.597807680188975e-30,1.0
maniqa,10,5,5.259072701473412e-32,5.709931239269624e-08,0.025,2.1036290805893647e-30,1.0
musiq,1,1,7.099748146989106e-30,3.7547036341133265e-07,0.025,2.8398992587956425e-28,1.0
musiq,1,2,1.2490297665999353e-30,5.037571985573929e-07,0.025,4.996119066399741e-29,1.0
musiq,1,3,7.888609052210118e-32,1.3638872195853312e-06,0.025,3.1554436208840472e-30,1.0
musiq,1,4,9.712849895533708e-31,2.6805837383605085e-06,0.025,3.8851399582134826e-29,1.0
musiq,1,5,7.231224964525941e-32,4.284803840405065e-06,0.025,2.892489985810376e-30,1.0
musiq,11,1,1.262177448353619e-30,0.0001511572850346232,0.025,5.048709793414476e-29,1.0
musiq,11,2,1.0978314264325747e-30,0.00019033402989970723,0.025,4.391325705730299e-29,1.0
musiq,11,3,1.2161605622157266e-30,0.00023330177535304413,0.025,4.864642248862906e-29,1.0
musiq,11,4,2.0543252740130517e-31,0.000304685571374426,0.025,8.217301096052206e-30,1.0
musiq,11,5,1.6434602192104412e-33,0.0004416185014781791,0.025,6.573840876841765e-32,1.0
musiq,10,1,0.0,3.2724787300734894e-05,0.025,0.0,1.0
musiq,10,2,1.9721522630525295e-31,1.1054017187508201e-05,0.025,7.888609052210118e-30,1.0
musiq,10,3,5.127595883936577e-31,1.8643202779331796e-06,0.025,2.0510383535746307e-29,1.0
musiq,10,4,6.573840876841765e-32,3.345852396958744e-07,0.025,2.6295363507367058e-30,1.0
musiq,10,5,8.587079645374556e-32,5.709931239269624e-08,0.025,3.434831858149822e-30,1.0
brisque,1,1,1.5514264469346565e-30,3.7547036341133265e-07,0.025,6.205705787738625e-29,1.0
brisque,1,2,2.300844306894618e-31,5.037571985573929e-07,0.025,9.20337722757847e-30,1.0
brisque,1,3,1.709198627978859e-31,1.3638872195853312e-06,0.025,6.836794511915435e-30,1.0
brisque,1,4,1.035379938102578e-31,2.6805837383605085e-06,0.025,4.141519752410312e-30,1.0
brisque,1,5,4.930380657631324e-32,4.284803840405065e-06,0.025,1.9721522630525295e-30,1.0
brisque,11,1,3.6813508910313885e-31,0.0001511572850346232,0.025,1.4725403564125552e-29,1.0
brisque,11,2,3.0173929624703703e-30,0.00019033402989970723,0.025,1.206957184988148e-28,1.0
brisque,11,3,7.55991700836803e-31,0.00023330177535304413,0.025,3.023966803347212e-29,1.0
brisque,11,4,1.8242408433235899e-31,0.000304685571374426,0.025,7.296963373294359e-30,1.0
brisque,11,5,9.860761315262648e-33,0.0004416185014781791,0.025,3.944304526105059e-31,1.0
brisque,10,1,1.7091986279788588e-30,3.2724787300734894e-05,0.025,6.836794511915435e-29,1.0
brisque,10,2,8.545993139894295e-32,1.1054017187508201e-05,0.025,3.4183972559577176e-30,1.0
brisque,10,3,3.944304526105059e-32,1.8643202779331796e-06,0.025,1.5777218104420236e-30,1.0
brisque,10,4,4.930380657631324e-32,3.345852396958744e-07,0.025,1.9721522630525295e-30,1.0
brisque,10,5,4.930380657631324e-32,5.709931239269624e-08,0.025,1.9721522630525295e-30,1.0
